For doors: 3, cars: 1, changing door: True, iterations: 10000, win probability: 0.6684
For doors: 3, cars: 1, changing door: False, iterations: 10000, win probability: 0.3329
For doors: 4, cars: 1, changing door: True, iterations: 10000, win probability: 0.3724
For doors: 4, cars: 1, changing door: False, iterations: 10000, win probability: 0.2545
For doors: 4, cars: 2, changing door: True, iterations: 10000, win probability: 0.7451
For doors: 4, cars: 2, changing door: False, iterations: 10000, win probability: 0.4974
For doors: 5, cars: 1, changing door: True, iterations: 10000, win probability: 0.2694
For doors: 5, cars: 1, changing door: False, iterations: 10000, win probability: 0.1981
For doors: 5, cars: 2, changing door: True, iterations: 10000, win probability: 0.5299
For doors: 5, cars: 2, changing door: False, iterations: 10000, win probability: 0.4006
For doors: 5, cars: 3, changing door: True, iterations: 10000, win probability: 0.7995
For doors: 5, cars: 3, changing door: False, iterations: 10000, win probability: 0.6033
For doors: 6, cars: 1, changing door: True, iterations: 10000, win probability: 0.2016
For doors: 6, cars: 1, changing door: False, iterations: 10000, win probability: 0.1698
For doors: 6, cars: 2, changing door: True, iterations: 10000, win probability: 0.422
For doors: 6, cars: 2, changing door: False, iterations: 10000, win probability: 0.3307
For doors: 6, cars: 3, changing door: True, iterations: 10000, win probability: 0.6272
For doors: 6, cars: 3, changing door: False, iterations: 10000, win probability: 0.5094
For doors: 6, cars: 4, changing door: True, iterations: 10000, win probability: 0.8311
For doors: 6, cars: 4, changing door: False, iterations: 10000, win probability: 0.6688
For doors: 7, cars: 1, changing door: True, iterations: 10000, win probability: 0.176
For doors: 7, cars: 1, changing door: False, iterations: 10000, win probability: 0.1444
For doors: 7, cars: 2, changing door: True, iterations: 10000, win probability: 0.3357
For doors: 7, cars: 2, changing door: False, iterations: 10000, win probability: 0.2844
For doors: 7, cars: 3, changing door: True, iterations: 10000, win probability: 0.517
For doors: 7, cars: 3, changing door: False, iterations: 10000, win probability: 0.435
For doors: 7, cars: 4, changing door: True, iterations: 10000, win probability: 0.6929
For doors: 7, cars: 4, changing door: False, iterations: 10000, win probability: 0.5679
For doors: 7, cars: 5, changing door: True, iterations: 10000, win probability: 0.8496
For doors: 7, cars: 5, changing door: False, iterations: 10000, win probability: 0.7155
For doors: 8, cars: 1, changing door: True, iterations: 10000, win probability: 0.1449
For doors: 8, cars: 1, changing door: False, iterations: 10000, win probability: 0.1291
For doors: 8, cars: 2, changing door: True, iterations: 10000, win probability: 0.2933
For doors: 8, cars: 2, changing door: False, iterations: 10000, win probability: 0.2577
For doors: 8, cars: 3, changing door: True, iterations: 10000, win probability: 0.4411
For doors: 8, cars: 3, changing door: False, iterations: 10000, win probability: 0.3701
For doors: 8, cars: 4, changing door: True, iterations: 10000, win probability: 0.571
For doors: 8, cars: 4, changing door: False, iterations: 10000, win probability: 0.5053
For doors: 8, cars: 5, changing door: True, iterations: 10000, win probability: 0.7215
For doors: 8, cars: 5, changing door: False, iterations: 10000, win probability: 0.6265
For doors: 8, cars: 6, changing door: True, iterations: 10000, win probability: 0.8721
For doors: 8, cars: 6, changing door: False, iterations: 10000, win probability: 0.7546
For doors: 9, cars: 1, changing door: True, iterations: 10000, win probability: 0.1288
For doors: 9, cars: 1, changing door: False, iterations: 10000, win probability: 0.1152
For doors: 9, cars: 2, changing door: True, iterations: 10000, win probability: 0.2573
For doors: 9, cars: 2, changing door: False, iterations: 10000, win probability: 0.2319
For doors: 9, cars: 3, changing door: True, iterations: 10000, win probability: 0.382
For doors: 9, cars: 3, changing door: False, iterations: 10000, win probability: 0.3273
For doors: 9, cars: 4, changing door: True, iterations: 10000, win probability: 0.5072
For doors: 9, cars: 4, changing door: False, iterations: 10000, win probability: 0.444
For doors: 9, cars: 5, changing door: True, iterations: 10000, win probability: 0.6374
For doors: 9, cars: 5, changing door: False, iterations: 10000, win probability: 0.562
