For doors: 3, cars: 1, changing door: True, iterations: 10000, win probability: 0.6728
For doors: 3, cars: 1, changing door: False, iterations: 10000, win probability: 0.3312
For doors: 4, cars: 1, changing door: True, iterations: 10000, win probability: 0.378
For doors: 4, cars: 1, changing door: False, iterations: 10000, win probability: 0.2483
For doors: 4, cars: 2, changing door: True, iterations: 10000, win probability: 0.755
For doors: 4, cars: 2, changing door: False, iterations: 10000, win probability: 0.4971
For doors: 5, cars: 1, changing door: True, iterations: 10000, win probability: 0.2619
For doors: 5, cars: 1, changing door: False, iterations: 10000, win probability: 0.2008
For doors: 5, cars: 2, changing door: True, iterations: 10000, win probability: 0.5304
For doors: 5, cars: 2, changing door: False, iterations: 10000, win probability: 0.4052
For doors: 5, cars: 3, changing door: True, iterations: 10000, win probability: 0.7974
For doors: 5, cars: 3, changing door: False, iterations: 10000, win probability: 0.6038
For doors: 6, cars: 1, changing door: True, iterations: 10000, win probability: 0.2056
For doors: 6, cars: 1, changing door: False, iterations: 10000, win probability: 0.1652
For doors: 6, cars: 2, changing door: True, iterations: 10000, win probability: 0.4195
For doors: 6, cars: 2, changing door: False, iterations: 10000, win probability: 0.3339
For doors: 6, cars: 3, changing door: True, iterations: 10000, win probability: 0.6208
For doors: 6, cars: 3, changing door: False, iterations: 10000, win probability: 0.4977
For doors: 6, cars: 4, changing door: True, iterations: 10000, win probability: 0.8334
For doors: 6, cars: 4, changing door: False, iterations: 10000, win probability: 0.6653
For doors: 7, cars: 1, changing door: True, iterations: 10000, win probability: 0.1704
For doors: 7, cars: 1, changing door: False, iterations: 10000, win probability: 0.1448
For doors: 7, cars: 2, changing door: True, iterations: 10000, win probability: 0.3426
For doors: 7, cars: 2, changing door: False, iterations: 10000, win probability: 0.2879
For doors: 7, cars: 3, changing door: True, iterations: 10000, win probability: 0.5126
For doors: 7, cars: 3, changing door: False, iterations: 10000, win probability: 0.4266
For doors: 7, cars: 4, changing door: True, iterations: 10000, win probability: 0.6847
For doors: 7, cars: 4, changing door: False, iterations: 10000, win probability: 0.576
For doors: 7, cars: 5, changing door: True, iterations: 10000, win probability: 0.8591
For doors: 7, cars: 5, changing door: False, iterations: 10000, win probability: 0.7189
For doors: 8, cars: 1, changing door: True, iterations: 10000, win probability: 0.1496
For doors: 8, cars: 1, changing door: False, iterations: 10000, win probability: 0.1287
For doors: 8, cars: 2, changing door: True, iterations: 10000, win probability: 0.2935
For doors: 8, cars: 2, changing door: False, iterations: 10000, win probability: 0.2427
For doors: 8, cars: 3, changing door: True, iterations: 10000, win probability: 0.4297
For doors: 8, cars: 3, changing door: False, iterations: 10000, win probability: 0.3679
For doors: 8, cars: 4, changing door: True, iterations: 10000, win probability: 0.5848
For doors: 8, cars: 4, changing door: False, iterations: 10000, win probability: 0.5025
For doors: 8, cars: 5, changing door: True, iterations: 10000, win probability: 0.7257
For doors: 8, cars: 5, changing door: False, iterations: 10000, win probability: 0.6299
For doors: 8, cars: 6, changing door: True, iterations: 10000, win probability: 0.8685
For doors: 8, cars: 6, changing door: False, iterations: 10000, win probability: 0.753
For doors: 9, cars: 1, changing door: True, iterations: 10000, win probability: 0.1319
For doors: 9, cars: 1, changing door: False, iterations: 10000, win probability: 0.1169
For doors: 9, cars: 2, changing door: True, iterations: 10000, win probability: 0.2588
For doors: 9, cars: 2, changing door: False, iterations: 10000, win probability: 0.2162
For doors: 9, cars: 3, changing door: True, iterations: 10000, win probability: 0.3757
For doors: 9, cars: 3, changing door: False, iterations: 10000, win probability: 0.3316
For doors: 9, cars: 4, changing door: True, iterations: 10000, win probability: 0.508
For doors: 9, cars: 4, changing door: False, iterations: 10000, win probability: 0.4389
For doors: 9, cars: 5, changing door: True, iterations: 10000, win probability: 0.6274
For doors: 9, cars: 5, changing door: False, iterations: 10000, win probability: 0.5569
For doors: 9, cars: 6, changing door: True, iterations: 10000, win probability: 0.768
For doors: 9, cars: 6, changing door: False, iterations: 10000, win probability: 0.6609
For doors: 9, cars: 7, changing door: True, iterations: 10000, win probability: 0.8898
For doors: 9, cars: 7, changing door: False, iterations: 10000, win probability: 0.7763
For doors: 10, cars: 1, changing door: True, iterations: 10000, win probability: 0.1106
For doors: 10, cars: 1, changing door: False, iterations: 10000, win probability: 0.0966
For doors: 10, cars: 2, changing door: True, iterations: 10000, win probability: 0.2261
For doors: 10, cars: 2, changing door: False, iterations: 10000, win probability: 0.1981
For doors: 10, cars: 3, changing door: True, iterations: 10000, win probability: 0.3393
For doors: 10, cars: 3, changing door: False, iterations: 10000, win probability: 0.3021
For doors: 10, cars: 4, changing door: True, iterations: 10000, win probability: 0.4607
For doors: 10, cars: 4, changing door: False, iterations: 10000, win probability: 0.3927
For doors: 10, cars: 5, changing door: True, iterations: 10000, win probability: 0.5575
For doors: 10, cars: 5, changing door: False, iterations: 10000, win probability: 0.4939
For doors: 10, cars: 6, changing door: True, iterations: 10000, win probability: 0.6771
For doors: 10, cars: 6, changing door: False, iterations: 10000, win probability: 0.5964
For doors: 10, cars: 7, changing door: True, iterations: 10000, win probability: 0.7855
For doors: 10, cars: 7, changing door: False, iterations: 10000, win probability: 0.7039
For doors: 10, cars: 8, changing door: True, iterations: 10000, win probability: 0.8976
For doors: 10, cars: 8, changing door: False, iterations: 10000, win probability: 0.8022
For doors: 20, cars: 10, changing door: True, iterations: 10000, win probability: 0.525
For doors: 20, cars: 10, changing door: False, iterations: 10000, win probability: 0.4948
For doors: 30, cars: 10, changing door: True, iterations: 10000, win probability: 0.3456
For doors: 30, cars: 10, changing door: False, iterations: 10000, win probability: 0.328
For doors: 30, cars: 20, changing door: True, iterations: 10000, win probability: 0.6907
For doors: 30, cars: 20, changing door: False, iterations: 10000, win probability: 0.6683
For doors: 40, cars: 10, changing door: True, iterations: 10000, win probability: 0.249
For doors: 40, cars: 10, changing door: False, iterations: 10000, win probability: 0.251
For doors: 40, cars: 20, changing door: True, iterations: 10000, win probability: 0.5229
For doors: 40, cars: 20, changing door: False, iterations: 10000, win probability: 0.4967
For doors: 40, cars: 30, changing door: True, iterations: 10000, win probability: 0.7727
For doors: 40, cars: 30, changing door: False, iterations: 10000, win probability: 0.7499
For doors: 50, cars: 10, changing door: True, iterations: 10000, win probability: 0.2051
For doors: 50, cars: 10, changing door: False, iterations: 10000, win probability: 0.1933
For doors: 50, cars: 20, changing door: True, iterations: 10000, win probability: 0.4085
For doors: 50, cars: 20, changing door: False, iterations: 10000, win probability: 0.3957
For doors: 50, cars: 30, changing door: True, iterations: 10000, win probability: 0.609
For doors: 50, cars: 30, changing door: False, iterations: 10000, win probability: 0.5972
For doors: 50, cars: 40, changing door: True, iterations: 10000, win probability: 0.8177
For doors: 50, cars: 40, changing door: False, iterations: 10000, win probability: 0.7993
For doors: 60, cars: 10, changing door: True, iterations: 10000, win probability: 0.1651
For doors: 60, cars: 10, changing door: False, iterations: 10000, win probability: 0.1644
For doors: 60, cars: 20, changing door: True, iterations: 10000, win probability: 0.3323
For doors: 60, cars: 20, changing door: False, iterations: 10000, win probability: 0.336
For doors: 60, cars: 30, changing door: True, iterations: 10000, win probability: 0.5161
For doors: 60, cars: 30, changing door: False, iterations: 10000, win probability: 0.5006
For doors: 60, cars: 40, changing door: True, iterations: 10000, win probability: 0.6794
For doors: 60, cars: 40, changing door: False, iterations: 10000, win probability: 0.6624
For doors: 60, cars: 50, changing door: True, iterations: 10000, win probability: 0.8477
For doors: 60, cars: 50, changing door: False, iterations: 10000, win probability: 0.8357
For doors: 70, cars: 10, changing door: True, iterations: 10000, win probability: 0.1502
For doors: 70, cars: 10, changing door: False, iterations: 10000, win probability: 0.1431
For doors: 70, cars: 20, changing door: True, iterations: 10000, win probability: 0.2939
For doors: 70, cars: 20, changing door: False, iterations: 10000, win probability: 0.2833
For doors: 70, cars: 30, changing door: True, iterations: 10000, win probability: 0.4333
For doors: 70, cars: 30, changing door: False, iterations: 10000, win probability: 0.4242
For doors: 70, cars: 40, changing door: True, iterations: 10000, win probability: 0.5685
For doors: 70, cars: 40, changing door: False, iterations: 10000, win probability: 0.5744
For doors: 70, cars: 50, changing door: True, iterations: 10000, win probability: 0.7242
For doors: 70, cars: 50, changing door: False, iterations: 10000, win probability: 0.7073
For doors: 70, cars: 60, changing door: True, iterations: 10000, win probability: 0.8698
For doors: 70, cars: 60, changing door: False, iterations: 10000, win probability: 0.8541
For doors: 80, cars: 10, changing door: True, iterations: 10000, win probability: 0.1271
For doors: 80, cars: 10, changing door: False, iterations: 10000, win probability: 0.1233
For doors: 80, cars: 20, changing door: True, iterations: 10000, win probability: 0.2505
For doors: 80, cars: 20, changing door: False, iterations: 10000, win probability: 0.2436
For doors: 80, cars: 30, changing door: True, iterations: 10000, win probability: 0.39
For doors: 80, cars: 30, changing door: False, iterations: 10000, win probability: 0.3786
For doors: 80, cars: 40, changing door: True, iterations: 10000, win probability: 0.5011
For doors: 80, cars: 40, changing door: False, iterations: 10000, win probability: 0.5037
For doors: 80, cars: 50, changing door: True, iterations: 10000, win probability: 0.627
For doors: 80, cars: 50, changing door: False, iterations: 10000, win probability: 0.6281
For doors: 80, cars: 60, changing door: True, iterations: 10000, win probability: 0.756
For doors: 80, cars: 60, changing door: False, iterations: 10000, win probability: 0.7489
For doors: 80, cars: 70, changing door: True, iterations: 10000, win probability: 0.8909
For doors: 80, cars: 70, changing door: False, iterations: 10000, win probability: 0.8795
For doors: 90, cars: 10, changing door: True, iterations: 10000, win probability: 0.1133
For doors: 90, cars: 10, changing door: False, iterations: 10000, win probability: 0.1161
For doors: 90, cars: 20, changing door: True, iterations: 10000, win probability: 0.2259
For doors: 90, cars: 20, changing door: False, iterations: 10000, win probability: 0.2244
For doors: 90, cars: 30, changing door: True, iterations: 10000, win probability: 0.3442
For doors: 90, cars: 30, changing door: False, iterations: 10000, win probability: 0.3384
For doors: 90, cars: 40, changing door: True, iterations: 10000, win probability: 0.4525
For doors: 90, cars: 40, changing door: False, iterations: 10000, win probability: 0.444
For doors: 90, cars: 50, changing door: True, iterations: 10000, win probability: 0.5611
For doors: 90, cars: 50, changing door: False, iterations: 10000, win probability: 0.5546
For doors: 90, cars: 60, changing door: True, iterations: 10000, win probability: 0.6739
